Município,IDEB AI - Pública,IDEB Anos Finais - Pública,Taxa de evasão ensino fund. Anos Iniciais,Taxa de evasão ensino fund. Anos Finais,Taxa de Abandono - Anos Iniciais,Taxa de Abandono - Anos Finais
Alvorada do Gurguéia,4.8,3.2,1.9,2.4,0.8,4.0
Barreiras do Piauí,4.1,2.6,3.4,6.3,2.0,9.5
Barro Duro,5.4,3.5,2.9,4.5,0.5,4.9
Campo Alegre do Fidalgo,4.4,3.4,1.6,7.1,2.0,0.9
Canto do Buriti,4.4,4.5,2.0,3.8,1.2,1.4
Caracol,3.5,3.6,1.4,14.2,4.3,7.7
Caxingó,3.8,3.8,1.8,4.1,1.1,3.9
Corrente,4.5,3.7,9.8,5.5,0.9,2.5
Cristino Castro,4.2,3.3,2.2,3.7,1.7,3.8
Fartura do Piauí,4.8,4.0,3.4,4.5,2.2,8.0
Flores do Piauí,4.8,4.4,6.3,4.7,0.6,2.8
Gilbués,3.7,3.7,2.5,5.4,6.1,12.1
Itaueira,5.1,4.0,1.8,3.8,2.7,7.5
Jerumenha,4.5,4.660454545454545,1.7,2.9,1.1,2.7
Luzilândia,4.5,3.9,1.7,4.1,2.0,5.2
Marcos Parente,5.1,5.2,2.1,4.6,1.2,1.8
Murici dos Portelas,5.1,3.3,0.6,2.7,1.0,9.3
Nossa Senhora dos Remédios,5.1,4.5,5.2,9.8,2.1,1.9
Novo Oriente do Piauí,5.415765765765766,4.0,2.7,4.1,0.6,2.3
Parnaguá,6.2,4.5,6.9,11.6,1.0,2.8
Passagem Franca do Piauí,4.6,3.9,5.1,7.8,0.7,2.8
Pavussu,4.2,4.0,3.8,2.4,0.7,3.1
Picos,5.1,4.8,2.2,4.0,1.6,2.4
Redenção do Gurguéia,4.8,3.7,2.5,2.6,1.2,3.4
Riacho Frio,4.6,3.9,1.6,3.1,1.0,2.0
Santa Luz,4.9,4.5,1.6,4.0,4.6,1.3
Sebastião Barros,3.8,3.8,2.9,5.7,1.4,2.5
Várzea Branca,4.5,3.7,0.7,5.0,0.8,6.5
