Município,IDEB AI - Pública,IDEB Anos Finais - Pública,Taxa de evasão ensino fund. Anos Iniciais,Taxa de evasão ensino fund. Anos Finais,Taxa de Abandono - Anos Iniciais,Taxa de Abandono - Anos Finais
Acauã,6.2,5.6,0.5,3.9,0.0,0.0
Água Branca,6.8,5.6,0.5,1.9,0.0,0.0
Alto Longá,5.6,5.0,0.4,2.3,0.2,0.0
Altos,7.0,5.6,1.4,2.5,0.1,0.3
Angical do Piauí,6.8,5.2,1.2,1.1,0.0,0.0
Antônio Almeida,6.1,5.6,0.0,2.1,0.0,0.0
Barra D'Alcântara,6.1,4.3,0.0,1.9,0.0,0.0
Bela Vista do Piauí,6.8,5.5,0.4,3.1,0.0,0.0
Belém do Piauí,6.8,5.1,0.0,1.4,0.0,0.0
Buriti dos Montes,7.3,6.5,0.2,3.1,0.0,0.0
Caldeirão Grande do Piauí,7.2,5.9,0.3,2.2,0.0,0.0
Campo Grande do Piauí,7.0,5.0,0.5,1.5,0.0,0.0
Castelo do Piauí,6.7,5.3,1.1,2.7,0.0,0.0
Cocal de Telha,5.3,5.3,1.3,1.1,0.0,0.0
Cocal dos Alves,7.8,6.4,0.4,3.1,0.2,0.3
Demerval Lobão,7.4,5.6,1.2,2.6,0.0,0.0
Dom Expedito Lopes,6.2,5.3,0.5,0.9,0.0,0.0
Dom Inocêncio,5.5,4.9,0.6,3.1,0.0,0.0
Domingos Mourão,8.4,6.1,1.0,2.8,0.0,0.0
Elesbão Veloso,5.8,5.2,0.7,2.0,0.0,0.4
Eliseu Martins,5.3,4.9,0.3,2.6,0.0,0.4
Floresta do Piauí,5.9,5.5,0.7,2.0,0.0,0.0
Francinópolis,6.5,4.7,0.3,4.1,0.0,0.0
Fronteiras,7.0,4.7,1.8,1.5,0.0,0.8
Ipiranga do Piauí,6.5,5.3,1.1,1.1,0.0,0.0
Isaías Coelho,5.6,4.7,0.3,1.6,0.1,0.0
Jacobina do Piauí,6.1,5.0,0.2,5.1,0.0,0.0
Juazeiro do Piauí,6.0,4.6,0.2,3.3,0.0,0.0
Monsenhor Hipólito,6.4,4.9,0.5,3.0,0.0,0.2
Oeiras,7.1,5.9,0.8,3.0,0.0,0.0
Olho D'Água do Piauí,6.4,4.6,0.0,2.6,0.0,0.6
Padre Marcos,6.6,4.7,1.4,1.5,0.0,0.0
Pajeú do Piauí,6.4,5.6,0.0,1.7,0.0,0.0
Palmeira do Piauí,6.3,5.1,1.1,3.0,0.0,0.0
Piracuruca,7.4,5.6,1.0,3.1,0.0,0.0
Piripiri,5.8,5.1,0.7,2.5,0.0,0.2
Santa Rosa do Piauí,6.6,4.660454545454545,0.3,1.2,0.0,0.3
São Félix do Piauí,6.0,5.5,0.0,1.0,0.6,0.0
São João da Canabrava,6.9,5.8,0.7,3.5,0.3,0.0
São João do Arraial,5.9,5.3,0.2,2.8,0.0,0.7
São José do Divino,6.6,5.3,0.2,4.6,0.0,0.0
São Luis do Piauí,6.6,5.1,0.7,5.4,0.0,0.0
São Miguel da Baixa Grande,6.3,5.6,0.0,3.2,0.0,0.7
Simões,7.3,5.8,1.1,6.4,0.0,0.0
Simplício Mendes,6.7,4.9,0.8,3.2,0.0,0.0
Tanque do Piauí,6.6,5.8,0.5,0.5,0.0,0.0
Vila Nova do Piauí,7.1,6.0,0.6,0.8,0.0,0.0
Wall Ferraz,5.6,4.9,0.7,2.3,0.0,0.5
