Município,IDEB AI - Pública,IDEB Anos Finais - Pública,Taxa de evasão ensino fund. Anos Iniciais,Taxa de evasão ensino fund. Anos Finais,Taxa de Abandono - Anos Iniciais,Taxa de Abandono - Anos Finais,cluster
Geminiano,5.2,4.4,3.0,2.8,0.3,1.3,4
Gilbués,3.7,3.7,2.5,5.4,6.1,12.1,1
Guadalupe,4.6,4.2,1.3,3.3,0.0,0.7,4
Guaribas,4.6,3.6,0.7,3.3,0.3,0.8,4
Hugo Napoleão,5.1,5.0,0.3,4.5,0.0,0.0,0
Ilha Grande,4.5,4.6,3.7,1.7,0.2,0.8,4
Inhuma,5.5,5.2,1.3,3.3,0.0,0.0,0
Ipiranga do Piauí,6.5,5.3,1.1,1.1,0.0,0.0,2
Isaías Coelho,5.6,4.7,0.3,1.6,0.1,0.0,2
Itainópolis,6.5,5.3,2.2,3.4,0.0,0.0,0
Itaueira,5.1,4.0,1.8,3.8,2.7,7.5,1
Jacobina do Piauí,6.1,5.0,0.2,5.1,0.0,0.0,2
Jaicós,5.8,5.2,1.2,7.0,0.0,0.0,0
Jardim do Mulato,5.2,4.8,0.3,2.9,0.0,3.5,4
Jatobá do Piauí,4.5,4.9,0.2,0.5,0.0,0.0,3
Jerumenha,4.5,4.660454545454545,1.7,2.9,1.1,2.7,1
João Costa,3.7,3.4,0.0,0.9,0.4,1.0,3
Joaquim Pires,6.1,5.2,1.1,4.0,0.1,0.0,0
Joca Marques,5.2,4.0,0.2,1.6,0.0,4.6,3
José de Freitas,4.9,4.1,1.1,3.2,0.3,1.3,4
Juazeiro do Piauí,6.0,4.6,0.2,3.3,0.0,0.0,2
Júlio Borges,6.2,3.7,0.5,5.3,0.0,3.4,4
Jurema,4.2,4.2,0.7,4.5,0.3,1.7,4
Lagoa Alegre,5.2,4.9,0.6,3.2,0.0,0.5,0
Lagoa de São Francisco,5.8,4.9,0.6,8.2,0.0,0.5,0
Lagoa do Barro do Piauí,5.3,4.4,0.4,3.1,0.0,0.5,0
Lagoa do Piauí,3.9,4.1,0.7,3.0,0.0,0.0,4
Lagoa do Sítio,4.5,4.3,0.8,0.7,0.0,0.7,3
Lagoinha do Piauí,5.4,5.0,2.3,1.2,0.0,2.7,0
Landri Sales,6.3,5.9,2.7,2.9,0.4,1.8,0
Luís Correia,4.7,4.5,2.3,4.1,0.5,1.6,4
Luzilândia,4.5,3.9,1.7,4.1,2.0,5.2,1
Madeiro,4.7,4.0,1.4,2.7,0.0,0.9,4
Manoel Emídio,5.9,4.6,4.5,4.4,0.3,1.0,0
Marcolândia,5.1,4.8,2.0,4.9,0.0,0.0,0
Marcos Parente,5.1,5.2,2.1,4.6,1.2,1.8,1
Massapê do Piauí,5.1,4.660454545454545,1.4,6.7,0.0,2.1,4
Matias Olímpio,4.8,3.9,0.9,3.9,0.0,2.0,4
Miguel Alves,3.8,3.2,2.2,5.8,0.1,0.9,4
Miguel Leão,4.2,4.2,0.0,3.3,0.0,3.5,4
Milton Brandão,4.5,4.6,2.1,11.5,0.5,0.8,4
Monsenhor Gil,4.7,3.9,1.2,2.0,0.3,1.4,4
Monsenhor Hipólito,6.4,4.9,0.5,3.0,0.0,0.2,2
Monte Alegre do Piauí,4.1,3.7,1.9,2.5,0.3,1.8,4
Morro Cabeça no Tempo,3.9,3.9,0.0,0.0,1.7,3.6,3
Morro do Chapéu do Piauí,4.8,4.5,0.9,3.1,0.2,1.7,4
Murici dos Portelas,5.1,3.3,0.6,2.7,1.0,9.3,1
Nazaré do Piauí,5.6,4.4,1.0,3.3,0.2,0.5,0
Nazária,5.8,4.660454545454545,2.1,4.5,0.5,1.1,0
Nossa Senhora de Nazaré,5.6,4.4,1.0,2.0,0.6,0.0,0
Nossa Senhora dos Remédios,5.1,4.5,5.2,9.8,2.1,1.9,1
Nova Santa Rita,4.1,3.9,0.3,1.9,0.0,1.6,3
Novo Oriente do Piauí,5.415765765765766,4.0,2.7,4.1,0.6,2.3,1
Novo Santo Antônio,5.1,5.0,1.6,4.4,0.0,0.0,0
Oeiras,7.1,5.9,0.8,3.0,0.0,0.0,2
Olho D'Água do Piauí,6.4,4.6,0.0,2.6,0.0,0.6,2
Padre Marcos,6.6,4.7,1.4,1.5,0.0,0.0,2
Paes Landim,6.0,4.8,2.3,2.4,0.3,2.1,0
Pajeú do Piauí,6.4,5.6,0.0,1.7,0.0,0.0,2
Palmeira do Piauí,6.3,5.1,1.1,3.0,0.0,0.0,2
Palmeirais,3.9,3.9,1.5,3.9,0.0,0.0,4
Paquetá,4.7,4.1,0.9,6.1,0.5,2.9,4
Parnaguá,6.2,4.5,6.9,11.6,1.0,2.8,1
Parnaíba,5.5,5.2,3.3,3.8,0.7,1.0,0
Passagem Franca do Piauí,4.6,3.9,5.1,7.8,0.7,2.8,1
Patos do Piauí,5.6,5.0,0.5,4.5,0.0,0.0,0
Pau D'Arco do Piauí,5.415765765765766,5.8,1.8,2.7,0.0,0.0,0
Paulistana,5.2,4.5,1.5,4.6,0.1,0.3,0
Pavussu,4.2,4.0,3.8,2.4,0.7,3.1,1
Pedro II,5.0,4.8,2.0,5.6,0.0,0.7,0
Pedro Laurentino,5.3,4.1,2.0,3.1,0.0,4.5,4
Picos,5.1,4.8,2.2,4.0,1.6,2.4,1
Pimenteiras,4.4,4.1,1.6,7.2,0.2,0.4,4
Pio IX,5.3,4.8,1.5,6.4,0.4,1.4,0
Piracuruca,7.4,5.6,1.0,3.1,0.0,0.0,2
Piripiri,5.8,5.1,0.7,2.5,0.0,0.2,2
Porto,5.3,4.6,3.8,3.1,0.0,0.0,0
Porto Alegre do Piauí,5.3,4.8,3.1,5.3,0.0,0.7,0
Prata do Piauí,5.1,5.1,0.3,1.3,0.0,2.8,3
Queimada Nova,5.8,4.1,0.7,5.5,0.5,0.8,4
Redenção do Gurguéia,4.8,3.7,2.5,2.6,1.2,3.4,1
Regeneração,4.4,4.0,1.1,1.7,0.2,1.4,3
Riacho Frio,4.6,3.9,1.6,3.1,1.0,2.0,1
Ribeira do Piauí,5.0,4.7,1.7,3.2,0.0,1.7,4
Ribeiro Gonçalves,6.4,4.5,0.8,4.5,0.0,1.8,0
Rio Grande do Piauí,5.8,5.1,1.5,2.5,0.0,0.0,0
Santa Cruz do Piauí,5.2,4.3,0.6,2.6,0.7,0.0,3
Santa Cruz dos Milagres,5.5,3.6,1.0,0.4,0.4,1.6,3
Santa Filomena,5.0,5.2,2.1,6.9,0.4,1.1,0
Santa Luz,4.9,4.5,1.6,4.0,4.6,1.3,1
Santa Rosa do Piauí,6.6,4.660454545454545,0.3,1.2,0.0,0.3,2
Santana do Piauí,5.9,5.1,1.3,2.9,0.0,2.6,0
Santo Antônio de Lisboa,4.8,4.5,2.0,2.8,0.0,2.9,4
Santo Antônio dos Milagres,5.3,3.8,1.2,1.5,0.0,0.0,3
Santo Inácio do Piauí,5.3,4.8,0.9,2.2,0.0,0.0,0
São Braz do Piauí,5.5,5.1,2.1,4.9,0.0,0.4,0
São Félix do Piauí,6.0,5.5,0.0,1.0,0.6,0.0,2
São Francisco de Assis do Piauí,4.2,3.4,0.6,6.7,0.4,2.6,4
São Francisco do Piauí,6.8,5.3,1.7,5.1,0.0,0.3,0
São Gonçalo do Gurguéia,4.3,4.1,1.6,5.4,0.0,4.3,4
São Gonçalo do Piauí,4.7,4.7,1.1,6.9,0.0,0.0,0
São João da Canabrava,6.9,5.8,0.7,3.5,0.3,0.0,2
São João da Fronteira,5.2,4.2,0.7,6.6,0.2,2.2,4
São João da Serra,5.9,4.7,2.0,2.6,0.0,0.0,0
São João da Varjota,5.2,4.9,1.0,2.8,0.0,0.0,0
São João do Arraial,5.9,5.3,0.2,2.8,0.0,0.7,2
São João do Piauí,5.5,4.5,1.1,3.9,0.1,1.2,0
São José do Divino,6.6,5.3,0.2,4.6,0.0,0.0,2
São José do Peixe,5.5,4.4,0.7,2.7,0.0,0.0,0
São José do Piauí,5.0,4.7,0.8,2.7,0.5,0.2,0
São Julião,5.7,4.7,1.0,4.8,0.0,0.0,0
São Lourenço do Piauí,4.7,4.5,1.3,1.8,0.0,2.1,4
São Luis do Piauí,6.6,5.1,0.7,5.4,0.0,0.0,2
São Miguel da Baixa Grande,6.3,5.6,0.0,3.2,0.0,0.7,2
São Miguel do Fidalgo,5.3,4.8,0.4,0.0,0.5,0.6,3
São Miguel do Tapuio,5.0,4.3,2.8,3.6,0.0,0.0,0
São Pedro do Piauí,4.8,5.0,1.5,3.3,0.0,0.3,0
São Raimundo Nonato,5.4,4.5,1.3,4.3,0.0,0.9,0
Sebastião Barros,3.8,3.8,2.9,5.7,1.4,2.5,1
Sebastião Leal,5.8,4.6,0.3,3.1,0.3,3.8,4
Sigefredo Pacheco,6.1,5.4,2.6,6.3,0.3,1.6,0
Simões,7.3,5.8,1.1,6.4,0.0,0.0,2
Simplício Mendes,6.7,4.9,0.8,3.2,0.0,0.0,2
Socorro do Piauí,4.9,3.5,0.7,0.7,0.0,2.2,3
Sussuapara,5.2,4.3,1.7,2.9,0.5,1.9,4
Tamboril do Piauí,4.8,4.5,0.4,0.6,0.0,0.0,3
Tanque do Piauí,6.6,5.8,0.5,0.5,0.0,0.0,2
Teresina,6.4,5.7,1.7,3.1,0.1,0.4,0
União,5.6,5.1,0.8,3.9,0.0,0.1,0
Uruçuí,4.7,4.7,1.4,3.4,0.3,1.7,4
Valença do Piauí,4.6,4.6,1.6,1.8,0.5,1.9,4
Várzea Branca,4.5,3.7,0.7,5.0,0.8,6.5,1
Várzea Grande,5.6,4.7,1.8,1.4,0.4,0.4,0
Vera Mendes,4.9,4.5,1.6,5.1,0.4,2.2,4
Vila Nova do Piauí,7.1,6.0,0.6,0.8,0.0,0.0,2
Wall Ferraz,5.6,4.9,0.7,2.3,0.0,0.5,2
