Município,IDEB AI - Pública,IDEB Anos Finais - Pública,Taxa de evasão ensino fund. Anos Iniciais,Taxa de evasão ensino fund. Anos Finais,Taxa de Abandono - Anos Iniciais,Taxa de Abandono - Anos Finais
Cajazeiras do Piauí,4.9,4.3,0.0,0.9,0.0,0.0
Capitão de Campos,5.3,3.9,1.0,1.4,0.0,1.6
Coivaras,5.7,4.8,0.2,0.7,0.0,2.1
Coronel José Dias,5.5,3.9,0.4,2.4,0.4,0.4
Curralinhos,4.8,4.3,0.7,1.9,0.8,0.4
Dirceu Arcoverde,4.2,4.7,0.0,0.7,1.0,1.9
Jatobá do Piauí,4.5,4.9,0.2,0.5,0.0,0.0
João Costa,3.7,3.4,0.0,0.9,0.4,1.0
Joca Marques,5.2,4.0,0.2,1.6,0.0,4.6
Lagoa do Sítio,4.5,4.3,0.8,0.7,0.0,0.7
Morro Cabeça no Tempo,3.9,3.9,0.0,0.0,1.7,3.6
Nova Santa Rita,4.1,3.9,0.3,1.9,0.0,1.6
Prata do Piauí,5.1,5.1,0.3,1.3,0.0,2.8
Regeneração,4.4,4.0,1.1,1.7,0.2,1.4
Santa Cruz do Piauí,5.2,4.3,0.6,2.6,0.7,0.0
Santa Cruz dos Milagres,5.5,3.6,1.0,0.4,0.4,1.6
Santo Antônio dos Milagres,5.3,3.8,1.2,1.5,0.0,0.0
São Miguel do Fidalgo,5.3,4.8,0.4,0.0,0.5,0.6
Socorro do Piauí,4.9,3.5,0.7,0.7,0.0,2.2
Tamboril do Piauí,4.8,4.5,0.4,0.6,0.0,0.0
